accuracy,algorithm,k,run_time,sample_size
0.3754,knn,1,0.139019923034,100
0.7584,knn,1,0.502053284036,1000
0.8416,knn,1,0.911550348115,2000
0.9108,knn,1,2.33585637318,5000
0.943,knn,1,9.31128110983,10000
0.954,knn,1,14.9257319702,15000
0.2846,knn,3,0.731432244193,100
0.6876,knn,3,1.26637271114,1000
0.7862,knn,3,2.02859673228,2000
0.8782,knn,3,4.36334510609,5000
0.9254,knn,3,12.8981136642,10000
0.9364,knn,3,19.6856232486,15000
0.2576,knn,5,0.992731934713,100
0.6298,knn,5,1.43196195427,1000
0.7634,knn,5,2.10032932085,2000
0.8622,knn,5,4.51454318653,5000
0.9124,knn,5,13.0606765424,10000
0.9262,knn,5,20.0315084913,15000
0.2384,knn,7,1.15793972843,100
0.613,knn,7,1.5787045174,1000
0.727,knn,7,2.2272420737,2000
0.84,knn,7,4.64317716572,5000
0.9038,knn,7,13.1854536917,10000
0.9278,knn,7,20.1421206962,15000
0.163,knn,9,1.23023037919,100
0.5858,knn,9,1.68103730293,1000
0.7062,knn,9,2.30476781833,2000
0.8314,knn,9,4.78057122477,5000
0.8902,knn,9,13.4645921292,10000
0.917,knn,9,20.4591722975,15000
0.3586,cnn,1,0.267697520878,100
0.7184,cnn,1,15.8054124764,1000
0.7978,cnn,1,67.1012628456,2000
0.87,cnn,1,452.881267883,5000
0.9118,cnn,1,2056.02819647,10000
0.9218,cnn,1,4914.72702077,15000
0.2462,cnn,3,0.891108166139,100
0.5378,cnn,3,16.1529227278,1000
0.5978,cnn,3,68.5489647198,2000
0.7256,cnn,3,462.524083271,5000
0.7784,cnn,3,2071.30016263,10000
0.8074,cnn,3,4850.34741831,15000
0.195,cnn,5,1.10258594479,100
0.4666,cnn,5,16.7188294464,1000
0.5404,cnn,5,63.7921126353,2000
0.6322,cnn,5,452.4601875,5000
0.7068,cnn,5,1990.28382103,10000
0.746,cnn,5,4846.99664607,15000
0.1994,cnn,7,1.30707319253,100
0.4446,cnn,7,17.0772358089,1000
0.5124,cnn,7,63.6742610166,2000
0.5916,cnn,7,450.325013289,5000
0.6576,cnn,7,1951.05347733,10000
0.6982,cnn,7,4897.38016822,15000
0.1574,cnn,9,1.46767237601,100
0.3788,cnn,9,16.5781413236,1000
0.4712,cnn,9,68.0090136667,2000
0.5732,cnn,9,459.903724648,5000
0.6328,cnn,9,1999.56763051,10000
0.638,cnn,9,4749.06930363,15000
