initialized,iters,n,trial
yes,43.0,50,33
no,29.0,50,34
yes,20.0,50,34
no,163.0,50,35
yes,166.0,50,35
no,60.0,50,36
yes,64.0,50,36
no,77.0,50,37
yes,52.0,50,37
no,3.0,50,38
yes,22.0,50,38
no,21.0,50,39
yes,9.0,50,39
no,26.0,50,40
yes,36.0,50,40
no,17.0,50,41
yes,11.0,50,41
no,179.0,50,42
yes,112.0,50,42
no,32.0,50,43
yes,50.0,50,43
no,48.0,50,44
yes,84.0,50,44
no,29.0,50,45
yes,49.0,50,45
no,9.0,50,46
yes,21.0,50,46
no,12.0,50,47
yes,8.0,50,47
no,449.0,50,48
yes,427.0,50,48
no,134.0,50,49
yes,113.0,50,49
no,21.0,50,50
yes,21.0,50,50
no,118.0,50,51
yes,85.0,50,51
no,44.0,50,52
yes,145.0,50,52
no,97.0,50,53
yes,145.0,50,53
no,39.0,50,54
yes,49.0,50,54
no,90.0,50,55
yes,14.0,50,55
no,59.0,50,56
yes,7.0,50,56
no,149.0,50,57
yes,243.0,50,57
no,39.0,50,58
yes,135.0,50,58
no,107.0,50,59
yes,137.0,50,59
no,585.0,50,60
yes,410.0,50,60
no,23.0,50,61
yes,23.0,50,61
no,94.0,50,62
yes,108.0,50,62
no,21.0,50,63
yes,0.0,50,63
no,27.0,50,64
yes,43.0,50,64
no,123.0,50,65
yes,6.0,50,65
no,17.0,50,66
yes,86.0,50,66
no,28.0,50,67
yes,6.0,50,67
no,127.0,50,68
yes,111.0,50,68
no,27.0,50,69
yes,22.0,50,69
no,941.0,50,70
yes,841.0,50,70
no,247.0,50,71
yes,0.0,50,71
no,4.0,50,72
yes,2.0,50,72
no,141.0,50,73
yes,612.0,50,73
no,15.0,50,74
yes,54.0,50,74
no,28.0,50,75
yes,0.0,50,75
no,11673.0,50,76
yes,10497.0,50,76
no,35.0,50,77
yes,0.0,50,77
no,1202.0,50,78
yes,3389.0,50,78
no,457.0,50,79
yes,507.0,50,79
no,16.0,50,80
yes,118.0,50,80
no,331.0,50,81
yes,164.0,50,81
no,73.0,50,82
yes,77.0,50,82
no,367.0,50,83
yes,258.0,50,83
no,77.0,50,84
yes,0.0,50,84
no,105.0,50,85
yes,129.0,50,85
no,5.0,50,86
yes,28.0,50,86
no,18.0,50,87
yes,47.0,50,87
no,39.0,50,88
yes,158.0,50,88
no,256.0,50,89
yes,379.0,50,89
no,98.0,50,90
yes,66.0,50,90
no,115.0,50,91
yes,66.0,50,91
no,279.0,50,92
yes,37.0,50,92
no,222.0,50,93
yes,178.0,50,93
no,77.0,50,94
yes,97.0,50,94
no,570.0,50,95
yes,421.0,50,95
no,46.0,50,96
yes,70.0,50,96
no,1062.0,50,97
yes,463.0,50,97
no,17.0,50,98
yes,23.0,50,98
no,423.0,50,99
yes,271.0,50,99
no,319.0,50,100
yes,1250.0,50,100
no,8.0,100,1
yes,18.0,100,1
no,62.0,100,2
yes,78.0,100,2
no,245.0,100,3
yes,125.0,100,3
no,56.0,100,4
yes,20.0,100,4
no,65.0,100,5
yes,111.0,100,5
no,1423.0,100,6
yes,1407.0,100,6
no,6007.0,100,7
yes,900.0,100,7
no,29.0,100,8
yes,43.0,100,8
no,1427.0,100,9
yes,1567.0,100,9
no,62.0,100,10
yes,70.0,100,10
no,6.0,100,11
yes,18.0,100,11
no,5671.0,100,12
yes,6737.0,100,12
no,612.0,100,13
yes,782.0,100,13
no,97.0,100,14
yes,117.0,100,14
no,165.0,100,15
yes,114.0,100,15
no,446.0,100,16
yes,538.0,100,16
no,207.0,100,17
yes,38.0,100,17
no,105.0,100,18
yes,239.0,100,18
no,242.0,100,19
yes,252.0,100,19
no,163.0,100,20
yes,12.0,100,20
no,420.0,100,21
yes,292.0,100,21
no,125.0,100,22
yes,13.0,100,22
no,1350.0,100,23
yes,1526.0,100,23
no,17.0,100,24
yes,141.0,100,24
no,75.0,100,25
yes,11.0,100,25
no,6647.0,100,26
yes,6975.0,100,26
no,80.0,100,27
yes,72.0,100,27
no,45.0,100,28
yes,38.0,100,28
no,1706.0,100,29
yes,3260.0,100,29
no,26.0,100,30
yes,59.0,100,30
no,168.0,100,31
yes,435.0,100,31
no,163.0,100,32
yes,100.0,100,32
no,261.0,100,33
yes,1434.0,100,33
no,1864.0,100,34
yes,707.0,100,34
no,14249.0,100,35
yes,78.0,100,35
no,13.0,100,36
yes,82.0,100,36
no,47.0,100,37
yes,99.0,100,37
no,407.0,100,38
yes,579.0,100,38
no,11.0,100,39
yes,58.0,100,39
no,1761.0,100,40
yes,426.0,100,40
no,216.0,100,41
yes,65.0,100,41
no,241.0,100,42
yes,579.0,100,42
no,514.0,100,43
yes,1146.0,100,43
no,256.0,100,44
yes,280.0,100,44
no,112.0,100,45
yes,126.0,100,45
no,54.0,100,46
yes,13.0,100,46
no,90.0,100,47
yes,0.0,100,47
no,223.0,100,48
yes,281.0,100,48
no,415.0,100,49
yes,341.0,100,49
no,110.0,100,50
yes,38.0,100,50
no,61.0,100,51
yes,77.0,100,51
no,151.0,100,52
yes,76.0,100,52
no,99.0,100,53
yes,25.0,100,53
no,355.0,100,54
yes,235.0,100,54
no,37.0,100,55
yes,57.0,100,55
no,68.0,100,56
yes,31.0,100,56
no,101.0,100,57
yes,228.0,100,57
no,54.0,100,58
yes,60.0,100,58
no,867.0,100,59
yes,892.0,100,59
no,58.0,100,60
yes,25.0,100,60
no,30.0,100,61
yes,21.0,100,61
no,239.0,100,62
yes,145.0,100,62
no,10.0,100,63
yes,24.0,100,63
no,42.0,100,64
yes,54.0,100,64
no,70.0,100,65
yes,174.0,100,65
no,73.0,100,66
yes,85.0,100,66
no,895.0,100,67
yes,397.0,100,67
no,1809.0,100,68
yes,1605.0,100,68
no,160.0,100,69
yes,131.0,100,69
no,429.0,100,70
yes,1147.0,100,70
no,377.0,100,71
yes,429.0,100,71
no,57.0,100,72
yes,2.0,100,72
no,43.0,100,73
yes,28.0,100,73
no,117.0,100,74
yes,54.0,100,74
no,947.0,100,75
yes,692.0,100,75
no,228.0,100,76
yes,215.0,100,76
no,323.0,100,77
yes,131.0,100,77
no,248.0,100,78
yes,103.0,100,78
no,5181.0,100,79
yes,5199.0,100,79
no,55.0,100,80
yes,226.0,100,80
no,661.0,100,81
yes,575.0,100,81
no,2660.0,100,82
yes,1438.0,100,82
no,270.0,100,83
yes,86.0,100,83
no,46.0,100,84
yes,21.0,100,84
no,104.0,100,85
yes,237.0,100,85
no,1325.0,100,86
yes,1715.0,100,86
no,22.0,100,87
yes,30.0,100,87
no,123.0,100,88
yes,88.0,100,88
no,82.0,100,89
yes,106.0,100,89
no,4143.0,100,90
yes,2804.0,100,90
no,591.0,100,91
yes,643.0,100,91
no,206.0,100,92
yes,141.0,100,92
no,89.0,100,93
yes,121.0,100,93
no,62.0,100,94
yes,183.0,100,94
no,32.0,100,95
yes,0.0,100,95
no,84.0,100,96
yes,0.0,100,96
no,717.0,100,97
yes,457.0,100,97
no,373.0,100,98
yes,429.0,100,98
no,247.0,100,99
yes,185.0,100,99
no,83.0,100,100
yes,67.0,100,100
no,232.0,200,1
yes,519.0,200,1
no,693.0,200,2
yes,243.0,200,2
no,43.0,200,3
yes,59.0,200,3
no,732.0,200,4
yes,1041.0,200,4
no,1373.0,200,5
yes,340.0,200,5
no,846.0,200,6
yes,880.0,200,6
no,819.0,200,7
yes,1226.0,200,7
no,39.0,200,8
yes,63.0,200,8
no,659.0,200,9
yes,1145.0,200,9
no,185.0,200,10
yes,159.0,200,10
no,110.0,200,11
yes,87.0,200,11
no,280.0,200,12
yes,324.0,200,12
no,139.0,200,13
yes,145.0,200,13
no,1545.0,200,14
yes,498.0,200,14
no,42.0,200,15
yes,172.0,200,15
no,93.0,200,16
yes,58.0,200,16
no,325.0,200,17
yes,335.0,200,17
no,146.0,200,18
yes,180.0,200,18
no,343.0,200,19
yes,389.0,200,19
no,17781.0,200,20
yes,18915.0,200,20
no,105.0,200,21
yes,186.0,200,21
no,658.0,200,22
yes,535.0,200,22
no,135.0,200,23
yes,141.0,200,23
no,733.0,200,24
yes,410.0,200,24
no,247.0,200,25
yes,247.0,200,25
no,28.0,200,26
yes,38.0,200,26
no,355.0,200,27
yes,756.0,200,27
no,252.0,200,28
yes,191.0,200,28
no,16.0,200,29
yes,30.0,200,29
no,592.0,200,30
yes,1167.0,200,30
no,62.0,200,31
yes,80.0,200,31
no,264.0,200,32
yes,417.0,200,32
no,319.0,200,33
yes,1928.0,200,33
no,952.0,200,34
yes,78.0,200,34
no,73.0,200,35
