accuracy,algorithm,k,run_time,sample_size
0.4152,knn,1,0.136605502194,100
0.7656,knn,1,0.552818556231,1000
0.852,knn,1,0.8994414674,2000
0.9054,knn,1,2.21324518944,5000
0.9432,knn,1,9.3283308723,10000
0.9546,knn,1,13.8169282289,15000
0.2766,knn,3,0.696671597285,100
0.6702,knn,3,1.20156308733,1000
0.7836,knn,3,1.88723166509,2000
0.8812,knn,3,4.02072228216,5000
0.9216,knn,3,12.1600317133,10000
0.936,knn,3,18.5584658891,15000
0.221,knn,5,0.906909665338,100
0.6336,knn,5,1.3185085499,1000
0.748,knn,5,1.92249007782,2000
0.852,knn,5,4.05968272132,5000
0.9086,knn,5,12.2238278449,10000
0.9302,knn,5,18.7392339966,15000
0.2264,knn,7,1.11417225691,100
0.622,knn,7,1.46827191869,1000
0.7138,knn,7,2.15664185962,2000
0.8402,knn,7,4.16432986137,5000
0.9018,knn,7,12.4634755772,10000
0.9218,knn,7,18.8408889824,15000
0.188,knn,9,1.14095838738,100
0.5882,knn,9,1.57607884542,1000
0.6996,knn,9,2.18335657523,2000
0.827,knn,9,4.35316699231,5000
0.8958,knn,9,12.5535391193,10000
0.9162,knn,9,19.1909556291,15000
0.3956,cnn,1,0.140802728645,100
0.708,cnn,1,1.4395071263,1000
0.7914,cnn,1,7.17391228117,2000
0.8552,cnn,1,71.7646234748,5000
0.893,cnn,1,365.203787639,10000
0.9104,cnn,1,890.830701888,15000
0.205,cnn,3,0.738314156091,100
0.4804,cnn,3,1.97631507037,1000
0.5782,cnn,3,7.2920388685,2000
0.695,cnn,3,67.9138360512,5000
0.7624,cnn,3,341.139301306,10000
0.79,cnn,3,902.9075648,15000
0.1896,cnn,5,0.916041359038,100
0.4442,cnn,5,2.2673921903,1000
0.5166,cnn,5,7.01122581677,2000
0.6232,cnn,5,69.4472062465,5000
0.6932,cnn,5,340.12606561,10000
0.7392,cnn,5,955.188814466,15000
0.1734,cnn,7,1.11177023745,100
0.4102,cnn,7,2.21197896554,1000
0.4776,cnn,7,7.95523357576,2000
0.5814,cnn,7,69.7043309476,5000
0.63,cnn,7,328.49081079,10000
0.667,cnn,7,880.955013772,15000
0.1716,cnn,9,1.2608322867,100
0.4016,cnn,9,2.47485790796,1000
0.452,cnn,9,7.67263515262,2000
0.5288,cnn,9,65.6587870849,5000
0.5792,cnn,9,331.611322291,10000
0.637,cnn,9,889.029278381,15000
