accuracy,algorithm,k,run_time,sample_size
0.3768,knn,1,0.185077801568,100
0.7686,knn,1,0.755909579384,1000
0.8528,knn,1,1.25358132677,2000
0.9094,knn,1,3.29899732686,5000
0.9446,knn,1,10.9318813453,10000
0.9546,knn,1,13.4528907836,15000
0.3128,knn,3,0.677987418157,100
0.694,knn,3,1.21116132958,1000
0.7854,knn,3,1.81534427306,2000
0.8778,knn,3,3.92155569782,5000
0.927,knn,3,11.7779322962,10000
0.9368,knn,3,18.1956797005,15000
0.249,knn,5,0.888506869296,100
0.6464,knn,5,1.35997321302,1000
0.7558,knn,5,1.98770552618,2000
0.86,knn,5,4.09815736841,5000
0.9122,knn,5,11.985504067,10000
0.9234,knn,5,18.3985008867,15000
0.2102,knn,7,1.0533118319,100
0.61,knn,7,1.48964249381,1000
0.7322,knn,7,2.08169987885,2000
0.8408,knn,7,4.3010153311,5000
0.9034,knn,7,12.1706207833,10000
0.9226,knn,7,18.4335788379,15000
0.1972,knn,9,1.20851128248,100
0.5924,knn,9,1.57908340101,1000
0.6954,knn,9,2.1705215722,2000
0.821,knn,9,4.3972295312,5000
0.8912,knn,9,12.3527201149,10000
0.9156,knn,9,18.6730824576,15000
0.3644,cnn,1,0.360364925641,100
0.7184,cnn,1,22.7564338585,1000
0.801,cnn,1,92.8300741218,2000
0.8722,cnn,1,661.254443009,5000
0.9096,cnn,1,2651.94923943,10000
0.921,cnn,1,4468.26388645,15000
0.2556,cnn,3,0.831815874539,100
0.513,cnn,3,14.4381057701,1000
0.6266,cnn,3,63.0093438001,2000
0.7116,cnn,3,431.504234217,5000
0.7722,cnn,3,1860.67569017,10000
0.8164,cnn,3,4726.41558486,15000
0.1954,cnn,5,1.03122710822,100
0.4736,cnn,5,14.6703105349,1000
0.5558,cnn,5,64.9059239693,2000
0.6732,cnn,5,438.83089133,5000
0.7106,cnn,5,1921.09552443,10000
0.7414,cnn,5,4557.70522983,15000
0.178,cnn,7,1.2374317336,100
0.4218,cnn,7,16.3127059859,1000
0.527,cnn,7,65.7809479702,2000
0.6032,cnn,7,434.660335547,5000
0.6732,cnn,7,1837.4190504,10000
0.694,cnn,7,4632.46072974,15000
0.1726,cnn,9,1.41117937573,100
0.3812,cnn,9,15.3795874958,1000
0.4748,cnn,9,63.923148634,2000
0.551,cnn,9,406.580562159,5000
0.6278,cnn,9,1896.49474032,10000
0.668,cnn,9,4567.3008678,15000
