accuracy,algorithm,k,run_time,sample_size
0.4258,knn,1,0.126643771149,100
0.7706,knn,1,0.488925351804,1000
0.8484,knn,1,0.870588582432,2000
0.921,knn,1,2.07862946765,5000
0.9426,knn,1,8.59662152136,10000
0.9546,knn,1,13.7947498534,15000
0.2404,knn,3,0.768858760657,100
0.6764,knn,3,1.19022907919,1000
0.7918,knn,3,1.8675960006,2000
0.8822,knn,3,4.06962563648,5000
0.9242,knn,3,12.1129513622,10000
0.9362,knn,3,25.9631918421,15000
0.2336,knn,5,1.47736854642,100
0.6418,knn,5,2.3896899184,1000
0.7432,knn,5,3.16304353869,2000
0.867,knn,5,6.46094526757,5000
0.9104,knn,5,16.7861377349,10000
0.9286,knn,5,25.5564508783,15000
0.2392,knn,7,1.60015463241,100
0.6162,knn,7,2.2159401381,1000
0.7352,knn,7,3.13441901021,2000
0.8468,knn,7,6.1700922278,5000
0.9072,knn,7,16.8765532197,10000
0.9222,knn,7,25.1260839984,15000
0.1904,knn,9,1.91516770304,100
0.582,knn,9,2.37750577413,1000
0.6992,knn,9,3.22029088511,2000
0.836,knn,9,6.32600497167,5000
0.8884,knn,9,17.0946670207,10000
0.9174,knn,9,25.3964529481,15000
0.4036,cnn,1,0.116626875335,100
0.6902,cnn,1,1.20083824792,1000
0.7926,cnn,1,7.04063505341,2000
0.857,cnn,1,71.4740791867,5000
0.9006,cnn,1,345.280416207,10000
0.9134,cnn,1,891.49819175,15000
0.194,cnn,3,0.691531865779,100
0.4756,cnn,3,1.90944638947,1000
0.5828,cnn,3,7.96250677265,2000
0.7002,cnn,3,69.1298959267,5000
0.7666,cnn,3,454.466281711,10000
0.7794,cnn,3,1151.31512169,15000
0.2026,cnn,5,1.58031883526,100
0.4658,cnn,5,3.25982307076,1000
0.5324,cnn,5,10.5288167499,2000
0.6156,cnn,5,100.420771631,5000
0.6872,cnn,5,479.696950415,10000
0.7236,cnn,5,1214.83156272,15000
0.1982,cnn,7,1.68156029916,100
0.4048,cnn,7,2.97986571441,1000
0.4878,cnn,7,10.1541098395,2000
0.5494,cnn,7,95.4260259685,5000
0.6294,cnn,7,449.464047751,10000
0.6748,cnn,7,1175.73036744,15000
0.1574,cnn,9,1.92584443792,100
0.3644,cnn,9,3.15202640725,1000
0.443,cnn,9,11.028730154,2000
0.5468,cnn,9,91.6009461827,5000
0.5972,cnn,9,462.247955376,10000
0.629,cnn,9,1163.74230826,15000
