accuracy,algorithm,k,run_time,sample_size
0.4024,knn,1,0.129129179208,100
0.7728,knn,1,0.493988109207,1000
0.8314,knn,1,0.85390701273,2000
0.911,knn,1,2.03034105084,5000
0.9466,knn,1,8.69711462597,10000
0.955,knn,1,13.8855155704,15000
0.258,knn,3,0.722125220607,100
0.6836,knn,3,1.22859596254,1000
0.7926,knn,3,1.83643774143,2000
0.8846,knn,3,3.94509608719,5000
0.922,knn,3,12.0722265057,10000
0.9392,knn,3,18.5668372498,15000
0.2326,knn,5,1.36237352194,100
0.6368,knn,5,2.05231501735,1000
0.7612,knn,5,2.9870264436,2000
0.8616,knn,5,6.6219541243,5000
0.9092,knn,5,16.8715319428,10000
0.9298,knn,5,18.9789736701,15000
0.2216,knn,7,1.06878832936,100
0.6164,knn,7,1.47905385151,1000
0.7268,knn,7,2.0665163106,2000
0.848,knn,7,4.18289045431,5000
0.9046,knn,7,12.4829726883,10000
0.9204,knn,7,19.1166619413,15000
0.2324,knn,9,1.28762739747,100
0.5788,knn,9,1.55850993543,1000
0.6984,knn,9,2.21404914112,2000
0.8278,knn,9,4.27267731732,5000
0.894,knn,9,12.5974370192,10000
0.9184,knn,9,19.1481918143,15000
0.3816,cnn,1,0.129143291131,100
0.7114,cnn,1,1.16735793682,1000
0.7808,cnn,1,6.47947849194,2000
0.864,cnn,1,66.4092246613,5000
0.896,cnn,1,368.232129929,10000
0.9114,cnn,1,881.832392325,15000
0.2188,cnn,3,0.721446993288,100
0.5114,cnn,3,2.24973818116,1000
0.6084,cnn,3,7.03849303534,2000
0.698,cnn,3,75.9271470107,5000
0.7652,cnn,3,349.67947815,10000
0.7934,cnn,3,930.960362616,15000
0.183,cnn,5,1.39467356355,100
0.444,cnn,5,3.20464418937,1000
0.543,cnn,5,10.013287012,2000
0.6268,cnn,5,96.7626533655,5000
0.6934,cnn,5,476.231191273,10000
0.7362,cnn,5,904.291972585,15000
0.1726,cnn,7,1.1419269781,100
0.4062,cnn,7,2.30285800546,1000
0.4886,cnn,7,7.76964218591,2000
0.5768,cnn,7,66.5398881908,5000
0.6312,cnn,7,322.692401673,10000
0.676,cnn,7,889.110076807,15000
0.1724,cnn,9,1.32653780348,100
0.3866,cnn,9,2.48012165329,1000
0.464,cnn,9,8.62114076467,2000
0.539,cnn,9,79.3530553799,5000
0.6078,cnn,9,343.135709182,10000
0.637,cnn,9,876.752628772,15000
